752,OTU752,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU799623.1.1467,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
866,OTU866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799655.1.1454,g_OM75 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;
1524,OTU1524,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,EU799832.1.1497,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
1707,OTU1707,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU799850.1.1450,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade III;
1076,OTU1076,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EU799855.1.1453,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
3736,OTU3736,Bacteria,Cyanobacteria,Chloroplast,,,,EU799970.1.1467,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
3680,OTU3680,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,OM182 clade,,EU800017.1.1503,f_OM182 clade,Bacteria;Proteobacteria;Gammaproteobacteria;OM182 clade;
219,OTU219,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,EU800186.1.1306,g_Polynucleobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;
1848,OTU1848,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,EU800188.1.1480,g_Litoricola,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;
145,OTU145,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU800402.1.1485,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
276,OTU276,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800581.1.1375,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
439,OTU439,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU800729.1.1446,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
1302,OTU1302,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,EU800869.1.1427,g_Polynucleobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;
78,OTU78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU801696.1.1459,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
459,OTU459,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802366.1.1420,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
241,OTU241,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802368.1.1440,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
354,OTU354,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU802374.1.1489,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
256,OTU256,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802400.1.1495,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
65,OTU65,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802420.1.1442,g_Prochlorococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;
214,OTU214,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802437.1.1387,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
400,OTU400,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU802459.1.1439,f_Surface 2,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
322,OTU322,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU802502.1.1451,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
156,OTU156,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802532.1.1252,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
104,OTU104,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802543.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
215,OTU215,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802603.1.1489,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
266,OTU266,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU802606.1.1200,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
369,OTU369,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802637.1.1438,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
373,OTU373,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU802666.1.1436,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
393,OTU393,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802670.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
230,OTU230,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802794.1.1441,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
248,OTU248,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802803.1.1440,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
306,OTU306,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802819.1.1500,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
350,OTU350,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802831.1.1482,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
183,OTU183,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU802833.1.1487,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
429,OTU429,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802835.1.1505,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
146,OTU146,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU802844.1.1359,f_Surface 2,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
561,OTU561,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,EU802868.1.1480,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
112,OTU112,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802893.1.1441,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
227,OTU227,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU802894.1.1450,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
360,OTU360,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802901.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
508,OTU508,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802903.1.1488,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
341,OTU341,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802924.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
981,OTU981,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,EU802936.1.1504,g_Idiomarina,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;
161,OTU161,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802942.1.1496,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
319,OTU319,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU802945.1.1378,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
337,OTU337,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802968.1.1439,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
177,OTU177,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802971.1.1498,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
123,OTU123,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802984.1.1440,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
271,OTU271,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU803064.1.1484,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
101,OTU101,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU803067.1.1257,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1151,OTU1151,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU803136.1.1458,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
443,OTU443,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU803168.1.1439,f_Surface 2,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
263,OTU263,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU803169.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
538,OTU538,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU804188.1.1426,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
299,OTU299,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU804538.1.1487,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
46,OTU46,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EU804641.1.1462,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
474,OTU474,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU805000.1.1468,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
1314,OTU1314,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,EU805065.1.1518,g_Coraliomargarita,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Coraliomargarita;
94,OTU94,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU805091.1.1526,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
404,OTU404,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU805172.1.1447,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
557,OTU557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU805199.1.1426,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
243,OTU243,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU805212.1.1439,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
113,OTU113,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU805254.1.1438,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
751,OTU751,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU805358.1.1525,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1253,OTU1253,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,EU880515.1.1503,g_Sufflavibacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;
381,OTU381,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,uncultured,EU919781.1.1500,g_uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;uncultured;
2002,OTU2002,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella,EU919792.1.1484,g_Reichenbachiella,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
1981,OTU1981,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,EU919815.1.1484,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
651,OTU651,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EU919854.1.1457,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
869,OTU869,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EU935239.1.1480,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
974,OTU974,Archaea,Thaumarchaeota,Marine Group I,,,,FJ002876.1.1276,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
750,OTU750,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150810.1.1353,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
212,OTU212,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150819.1.1297,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
628,OTU628,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150820.1.1353,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
247,OTU247,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150822.1.1353,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
234,OTU234,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150824.1.1353,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1194,OTU1194,Archaea,Thaumarchaeota,Marine Group I,,,,FJ150834.1.1353,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1737,OTU1737,Bacteria,Cyanobacteria,ML635J-21,,,,FJ155017.1.1491,c_ML635J-21,Bacteria;Margulisbacteria;
1985,OTU1985,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,FJ169986.1.1505,g_Pseudomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
4249,OTU4249,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,FJ193732.1.1447,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
2490,OTU2490,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,FJ200648.1.1503,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1652,OTU1652,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,FJ444989.1.1450,g_Halomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
2363,OTU2363,Bacteria,Cyanobacteria,Chloroplast,,,,FJ456816.1.1475,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2283,OTU2283,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,FJ457286.1.1379,g_Cobetia,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;
2650,OTU2650,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,FJ457317.1.1419,g_Vibrio,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
2078,OTU2078,Archaea,Thaumarchaeota,Marine Group I,Order Incertae Sedis,Family Incertae Sedis,Candidatus Nitrosopumilus,FJ487498.1.1367,g_Candidatus Nitrosopumilus,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;
2187,OTU2187,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,FJ494890.1.1458,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2192,OTU2192,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,FJ497402.1.1420,g_Oceanobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oleibacter;
2264,OTU2264,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,FJ497481.1.1464,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1760,OTU1760,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,FJ497496.1.1440,g_Aestuariibacter,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;
857,OTU857,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,FJ497517.1.1437,g_Methylophaga,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga;
3017,OTU3017,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,FJ497684.1.1292,g_Croceicoccus,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceicoccus;
3763,OTU3763,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,FJ535252.1.1363,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
424,OTU424,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade OCT lineage,FJ545507.1.1456,g_Roseobacter clade OCT lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ascidiaceihabitans;
1029,OTU1029,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,,FJ545538.1.1526,o_KI89A clade,Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
1616,OTU1616,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,FJ545589.1.1505,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;
2718,OTU2718,Bacteria,Cyanobacteria,Chloroplast,,,,FJ612150.1.1429,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1658,OTU1658,Bacteria,Cyanobacteria,Chloroplast,,,,FJ612433.1.1395,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1953,OTU1953,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,FJ613602.1.1487,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
615,OTU615,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,FJ615178.1.1439,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
1536,OTU1536,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,FJ626887.1.1400,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2610,OTU2610,Bacteria,Verrucomicrobia,OPB35 soil group,,,,FJ628330.1.1527,c_OPB35 soil group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SCGC AAA164-E04;
833,OTU833,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,FJ744785.1.1295,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
148,OTU148,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ744908.1.1331,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
312,OTU312,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FJ744956.1.1371,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
51,OTU51,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ745080.1.1326,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
565,OTU565,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,FJ745081.1.1358,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
1070,OTU1070,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FJ745131.1.1372,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
479,OTU479,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,FJ745176.1.1372,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
209,OTU209,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,FJ745198.1.1365,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
936,OTU936,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,,FJ745211.1.1387,f_Bacteriovoracaceae,Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;
